# 작업영역 X=170.0~270.0, Y=-100.0~0.0
# PEN_UP_Z=126.0, PEN_DOWN_Z=125.0

[STROKE 1]
X=197.20, Y=-56.40
X=198.00, Y=-57.40
X=199.40, Y=-58.40
X=200.60, Y=-59.60
X=201.80, Y=-60.60
X=203.20, Y=-61.80
X=204.80, Y=-63.40
X=206.40, Y=-65.20
X=207.40, Y=-66.60
X=208.20, Y=-67.60
X=209.60, Y=-68.40
X=210.60, Y=-68.80
X=211.60, Y=-69.80
X=212.80, Y=-71.20
X=213.60, Y=-72.40
X=214.60, Y=-73.40
X=215.60, Y=-74.60
X=216.60, Y=-76.00
X=217.60, Y=-77.40
X=218.60, Y=-79.00
X=219.40, Y=-80.20
X=220.20, Y=-80.80
X=221.20, Y=-81.60
X=222.20, Y=-82.20
X=222.80, Y=-83.00
X=223.40, Y=-84.00
X=223.40, Y=-83.00
X=223.40, Y=-80.40
X=223.40, Y=-78.40
X=223.40, Y=-76.60
X=223.60, Y=-74.20
X=223.80, Y=-71.60
X=224.20, Y=-69.40
X=224.20, Y=-67.20
X=224.20, Y=-65.60
X=224.20, Y=-64.40
X=224.40, Y=-63.20
X=224.40, Y=-61.60
X=224.40, Y=-60.60
X=224.40, Y=-59.40
X=224.40, Y=-58.40
X=224.40, Y=-57.20
X=224.40, Y=-56.20
X=224.40, Y=-54.40
X=224.40, Y=-53.00
X=224.40, Y=-50.60
X=224.40, Y=-49.40
X=224.40, Y=-48.00
X=224.40, Y=-46.60
X=224.40, Y=-45.60
X=224.20, Y=-44.60
X=223.60, Y=-43.40
X=223.60, Y=-41.80
X=223.60, Y=-40.80
X=223.00, Y=-39.40
X=222.40, Y=-38.40
X=222.40, Y=-37.40
X=222.20, Y=-36.20
X=222.20, Y=-34.80
X=222.00, Y=-33.60
X=222.00, Y=-32.60
X=222.00, Y=-31.60
X=222.00, Y=-30.60
X=221.60, Y=-29.60
X=221.20, Y=-28.60
X=221.20, Y=-27.60
X=221.20, Y=-26.40
X=220.80, Y=-25.20
X=220.80, Y=-24.20
X=220.80, Y=-22.80
X=220.80, Y=-21.80
X=219.60, Y=-21.60
X=218.80, Y=-22.40
X=217.20, Y=-23.00
X=216.40, Y=-24.00
X=215.40, Y=-24.40
X=215.00, Y=-25.60
X=214.20, Y=-26.40
X=213.40, Y=-27.40
X=212.20, Y=-28.60
X=211.60, Y=-29.80
X=211.00, Y=-31.00
X=210.20, Y=-32.00
X=209.60, Y=-33.00
X=209.20, Y=-34.20
X=208.60, Y=-35.20
X=208.00, Y=-36.60
X=207.60, Y=-38.00
X=207.20, Y=-39.00
X=206.80, Y=-40.40
X=206.20, Y=-41.80
X=206.00, Y=-42.80
X=205.60, Y=-43.80
X=205.40, Y=-44.80
X=205.40, Y=-45.80
X=204.80, Y=-46.80
X=204.60, Y=-47.80
X=204.00, Y=-48.80
X=203.20, Y=-49.80
X=202.60, Y=-50.80
X=201.80, Y=-51.80
X=201.20, Y=-52.60
X=200.60, Y=-53.40
X=200.00, Y=-54.20
X=199.40, Y=-55.20
X=198.60, Y=-56.00
X=197.80, Y=-57.00
X=197.00, Y=-57.20

