# 작업영역 X=170.0~270.0, Y=-100.0~0.0
# PEN_UP_Z=126.0, PEN_DOWN_Z=125.0

[STROKE 1]
X=207.40, Y=-65.20
X=207.40, Y=-66.20
X=207.40, Y=-67.20
X=207.60, Y=-68.40
X=207.60, Y=-69.60
X=207.60, Y=-70.60
X=208.80, Y=-71.40
X=210.60, Y=-72.20
X=211.80, Y=-72.40
X=213.00, Y=-73.00
X=214.00, Y=-73.60
X=215.00, Y=-73.60
X=216.00, Y=-73.60
X=217.00, Y=-74.00
X=218.20, Y=-74.20
X=219.20, Y=-74.40
X=220.60, Y=-74.60
X=221.80, Y=-74.80
X=222.80, Y=-75.00
X=223.80, Y=-75.00
X=224.40, Y=-74.20
X=224.40, Y=-73.00
X=224.40, Y=-71.80
X=224.80, Y=-70.80
X=224.80, Y=-69.40
X=225.40, Y=-67.80
X=225.60, Y=-66.60
X=225.80, Y=-65.60
X=226.00, Y=-64.60
X=226.20, Y=-63.60
X=226.60, Y=-62.60
X=226.60, Y=-61.60
X=226.80, Y=-60.60
X=226.80, Y=-59.60
X=226.80, Y=-58.60
X=226.80, Y=-57.60
X=226.20, Y=-56.80
X=224.80, Y=-56.40
X=223.80, Y=-56.40
X=222.60, Y=-56.20
X=221.60, Y=-56.00
X=220.40, Y=-55.60
X=219.20, Y=-55.40
X=218.20, Y=-55.20
X=217.20, Y=-55.00
X=216.20, Y=-54.40
X=216.20, Y=-53.40
X=216.20, Y=-51.80
X=216.40, Y=-50.60
X=216.40, Y=-49.60
X=216.40, Y=-48.60
X=216.40, Y=-47.00
X=216.40, Y=-45.80
X=216.40, Y=-44.80
X=216.40, Y=-43.40
X=216.40, Y=-42.40
X=216.40, Y=-40.60
X=216.40, Y=-39.60
X=216.40, Y=-38.40
X=216.40, Y=-37.40
X=216.40, Y=-36.40
X=216.40, Y=-35.40
X=216.40, Y=-34.40
X=216.40, Y=-33.40
X=216.40, Y=-32.20
X=216.40, Y=-30.80
X=216.40, Y=-29.80
X=216.20, Y=-28.80
X=215.00, Y=-28.20
X=213.40, Y=-27.60
X=211.40, Y=-27.20
X=210.00, Y=-26.80
X=209.00, Y=-26.40
X=208.00, Y=-26.40
X=207.00, Y=-26.20
X=205.60, Y=-25.80
X=204.60, Y=-25.40
X=202.60, Y=-25.20
X=201.60, Y=-25.20
X=200.60, Y=-25.20
X=199.40, Y=-25.20
X=198.40, Y=-24.80
X=197.20, Y=-24.80
X=195.80, Y=-24.40
X=194.80, Y=-24.40
X=193.80, Y=-24.40
X=192.60, Y=-24.40
X=191.60, Y=-24.40
X=190.60, Y=-24.40
X=190.20, Y=-25.60
X=190.00, Y=-26.60
X=189.80, Y=-28.40
X=189.60, Y=-30.40
X=189.20, Y=-32.20
X=189.00, Y=-34.20
X=188.80, Y=-35.60
X=188.80, Y=-36.60
X=188.80, Y=-37.60
X=188.80, Y=-39.20
X=188.80, Y=-41.60
X=188.80, Y=-44.00
X=188.80, Y=-46.60
X=188.80, Y=-49.00
X=188.80, Y=-51.20
X=188.80, Y=-53.20
X=188.80, Y=-54.20
X=188.60, Y=-55.40
X=188.60, Y=-56.40
X=188.60, Y=-58.00
X=188.60, Y=-59.40
X=188.60, Y=-60.80
X=188.60, Y=-62.00
X=188.60, Y=-63.00
X=188.60, Y=-64.00
X=189.00, Y=-65.20
X=190.00, Y=-65.60
X=191.40, Y=-65.80
X=192.40, Y=-66.00
X=193.40, Y=-66.20
X=194.40, Y=-66.20
X=195.60, Y=-66.40
X=196.80, Y=-66.60
X=197.80, Y=-66.60
X=199.00, Y=-66.60
X=200.00, Y=-66.60
X=201.00, Y=-66.60
X=202.00, Y=-66.60
X=203.20, Y=-66.60
X=204.20, Y=-66.60
X=205.60, Y=-66.80
X=206.80, Y=-66.80
X=207.80, Y=-66.80
X=208.80, Y=-66.60
X=209.00, Y=-66.60

