time_s	target_X	target_Y	target_Z	current_X	current_Y	current_Z	error_X	error_Y	error_Z
2.004	205.625	-71.406	127.500	205.827	-71.410	127.195	-0.202	0.004	0.305
4.000	205.625	-71.406	125.000	205.621	-71.412	124.712	0.004	0.006	0.288
6.000	205.625	-70.469	125.000	205.624	-70.429	124.706	0.001	-0.040	0.294
8.001	205.625	-69.531	125.000	205.631	-69.538	124.745	-0.006	0.007	0.255
10.004	205.625	-67.656	125.000	205.630	-67.677	124.746	-0.005	0.021	0.254
12.006	205.625	-66.562	125.000	205.618	-66.538	124.703	0.007	-0.025	0.297
14.009	205.625	-65.625	125.000	205.606	-65.651	124.710	0.019	0.026	0.290
16.010	205.625	-63.438	125.000	205.633	-63.419	124.727	-0.008	-0.019	0.273
18.012	205.625	-62.031	125.000	205.611	-62.063	124.716	0.014	0.032	0.284
20.013	205.625	-60.312	125.000	205.618	-60.322	124.714	0.007	0.010	0.286
22.014	205.625	-58.906	125.000	205.623	-58.902	124.717	0.002	-0.004	0.283
24.019	205.625	-57.500	125.000	205.618	-57.494	124.719	0.007	-0.006	0.281
26.018	205.625	-56.562	125.000	205.612	-56.549	124.708	0.013	-0.014	0.292
28.018	205.625	-55.625	125.000	205.624	-55.621	124.725	0.001	-0.004	0.275
30.018	205.625	-54.688	125.000	205.632	-54.694	124.740	-0.007	0.007	0.260
32.018	205.625	-53.750	125.000	205.611	-53.753	124.714	0.014	0.003	0.286
34.017	205.625	-52.188	125.000	205.607	-52.213	124.711	0.018	0.026	0.289
36.018	205.625	-50.938	125.000	205.639	-50.911	124.731	-0.014	-0.026	0.269
38.018	205.625	-49.375	125.000	205.611	-49.376	124.698	0.014	0.001	0.302
40.017	205.625	-48.438	125.000	205.615	-48.456	124.714	0.010	0.019	0.286
42.019	205.625	-47.500	125.000	205.633	-47.466	124.729	-0.008	-0.034	0.271
44.019	205.625	-46.406	125.000	205.607	-46.399	124.695	0.018	-0.007	0.305
46.020	205.625	-45.469	125.000	205.625	-45.498	124.741	0.000	0.029	0.259
48.021	205.625	-44.375	125.000	205.633	-44.362	124.737	-0.008	-0.013	0.263
50.022	205.469	-44.219	125.000	205.455	-44.252	124.713	0.014	0.033	0.287
52.023	205.469	-44.219	127.500	205.466	-44.254	127.224	0.003	0.035	0.276
