# 작업영역 X=170.0~270.0, Y=-100.0~0.0
# PEN_UP_Z=126.0, PEN_DOWN_Z=125.0

[STROKE 1]
X=199.40, Y=-52.00
X=200.60, Y=-52.40
X=202.00, Y=-53.00
X=204.00, Y=-54.00
X=206.20, Y=-55.40
X=207.80, Y=-56.20
X=209.80, Y=-57.40
X=211.80, Y=-58.40
X=213.20, Y=-59.20
X=214.40, Y=-59.80
X=215.00, Y=-60.60
X=216.00, Y=-61.20
X=216.80, Y=-61.80
X=218.40, Y=-62.40
X=220.00, Y=-63.40
X=221.00, Y=-63.60
X=222.20, Y=-64.80
X=223.40, Y=-65.60
X=224.40, Y=-66.20
X=225.80, Y=-67.00
X=227.00, Y=-67.80
X=228.20, Y=-68.60
X=229.40, Y=-69.40
X=230.20, Y=-70.00
X=230.40, Y=-69.00
X=229.80, Y=-67.80
X=229.60, Y=-66.80
X=229.40, Y=-64.80
X=229.40, Y=-63.80
X=229.20, Y=-62.80
X=229.00, Y=-61.40
X=229.00, Y=-60.20
X=229.00, Y=-59.20
X=228.60, Y=-58.20
X=228.60, Y=-57.00
X=228.60, Y=-55.60
X=228.60, Y=-53.80
X=228.60, Y=-52.40
X=228.60, Y=-51.40
X=228.60, Y=-50.20
X=228.60, Y=-49.20
X=228.60, Y=-48.00
X=228.60, Y=-46.80
X=228.60, Y=-45.60
X=228.60, Y=-44.00
X=228.60, Y=-42.80
X=228.20, Y=-40.20
X=227.80, Y=-38.00
X=227.80, Y=-36.60
X=227.80, Y=-34.80
X=227.80, Y=-33.00
X=227.80, Y=-31.40
X=227.80, Y=-30.00
X=227.00, Y=-30.60
X=226.40, Y=-31.60
X=225.80, Y=-32.60
X=225.00, Y=-34.20
X=224.20, Y=-35.40
X=223.40, Y=-36.40
X=222.40, Y=-37.20
X=221.20, Y=-38.00
X=219.60, Y=-39.00
X=218.40, Y=-39.80
X=217.40, Y=-40.40
X=216.60, Y=-41.00
X=215.40, Y=-41.40
X=214.60, Y=-42.00
X=213.80, Y=-42.80
X=212.60, Y=-43.60
X=211.60, Y=-44.40
X=210.60, Y=-45.00
X=209.60, Y=-45.40
X=208.40, Y=-45.80
X=207.20, Y=-46.60
X=206.00, Y=-47.60
X=205.00, Y=-48.20
X=204.00, Y=-48.80
X=203.00, Y=-49.20
X=202.00, Y=-49.80
X=201.20, Y=-50.60
X=200.40, Y=-51.60
X=199.40, Y=-52.00
X=198.60, Y=-52.60
X=198.40, Y=-53.60
X=198.00, Y=-54.20

