# 작업영역 X=170.0~270.0, Y=-100.0~0.0
# PEN_UP_Z=126.0, PEN_DOWN_Z=125.0

[STROKE 1]
X=199.20, Y=-61.60
X=199.20, Y=-62.60
X=199.20, Y=-64.00
X=199.20, Y=-65.60
X=199.60, Y=-66.60
X=200.20, Y=-67.40
X=201.40, Y=-68.60
X=202.80, Y=-69.60
X=204.60, Y=-70.80
X=206.40, Y=-72.00
X=208.20, Y=-72.80
X=209.20, Y=-73.80
X=210.80, Y=-74.60
X=212.00, Y=-75.00
X=213.00, Y=-75.60
X=214.00, Y=-76.00
X=215.20, Y=-76.20
X=216.60, Y=-76.20
X=217.60, Y=-76.40
X=219.00, Y=-76.40
X=220.40, Y=-76.40
X=221.40, Y=-76.40
X=222.80, Y=-76.00
X=224.00, Y=-75.40
X=224.80, Y=-74.80
X=225.60, Y=-74.20
X=226.40, Y=-73.40
X=226.80, Y=-72.40
X=227.80, Y=-71.60
X=228.20, Y=-70.60
X=228.80, Y=-69.80
X=229.80, Y=-68.60
X=230.40, Y=-67.60
X=231.20, Y=-66.80
X=231.80, Y=-65.80
X=232.60, Y=-64.00
X=233.00, Y=-62.00
X=233.40, Y=-60.40
X=233.60, Y=-59.40
X=233.80, Y=-58.40
X=233.80, Y=-57.40
X=234.00, Y=-56.20
X=234.00, Y=-55.20
X=234.00, Y=-53.80
X=234.00, Y=-52.40
X=234.00, Y=-50.40
X=234.00, Y=-49.40
X=234.00, Y=-48.00
X=234.00, Y=-46.80
X=233.40, Y=-46.00
X=232.80, Y=-44.80
X=232.20, Y=-44.00
X=231.40, Y=-43.20
X=230.60, Y=-42.60
X=229.40, Y=-41.40
X=228.60, Y=-40.40
X=227.60, Y=-39.40
X=226.40, Y=-38.40
X=225.40, Y=-37.40
X=224.00, Y=-36.20
X=222.80, Y=-35.40
X=221.40, Y=-34.40
X=220.20, Y=-34.00
X=219.20, Y=-33.40
X=217.80, Y=-33.00
X=216.80, Y=-32.60
X=215.80, Y=-32.40
X=214.20, Y=-32.00
X=213.00, Y=-32.00
X=212.00, Y=-32.00
X=210.80, Y=-32.00
X=209.80, Y=-32.00
X=208.80, Y=-32.40
X=207.80, Y=-33.00
X=207.00, Y=-33.80
X=206.00, Y=-34.40
X=205.40, Y=-35.20
X=204.60, Y=-36.20
X=204.00, Y=-37.20
X=203.40, Y=-38.00
X=202.60, Y=-39.00
X=202.00, Y=-39.80
X=201.60, Y=-40.80
X=201.60, Y=-41.80
X=201.20, Y=-43.20
X=200.60, Y=-44.80
X=200.20, Y=-46.40
X=199.80, Y=-47.60
X=199.60, Y=-48.60
X=199.60, Y=-49.80
X=199.60, Y=-50.80
X=199.40, Y=-52.00
X=199.40, Y=-53.00
X=199.40, Y=-54.20
X=199.40, Y=-55.40
X=199.40, Y=-56.40
X=199.40, Y=-57.40
X=199.40, Y=-58.40
X=199.40, Y=-59.40
X=199.20, Y=-60.40
X=199.20, Y=-61.40
X=199.00, Y=-62.40

